,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
195,33.1138,107.0089,0.4187544270380716
996,49.32273,11.02792,0.418836314434239
1137,44.82112,20.459113,0.4217544680176497
1245,33.81468,-80.781136,0.4217572592506104
422,32.0023,118.7752,0.4232298123730934
1323,43.14618,-77.54817,0.4238299636915062
881,51.468662,5.47235,0.4244785413810916
529,31.2132,107.4988,0.4245295094402747
309,36.0658,120.4134,0.4251210576390271
654,28.4586,119.93,0.4253108652777165
199,30.2756,118.1371,0.4278733680589834
398,29.7166,106.6205,0.4289567429302803
1135,52.22174,-2.736665,0.429037250302631
570,27.9939,120.6748,0.4297559065309174
1421,39.46048,-76.633545,0.4304889799008166
1286,36.02661,-80.341965,0.4305310862065283
1368,34.530716,-86.96754,0.4306481561914075
1281,35.76541,-82.264946,0.4311982943947375
1064,56.2904,8.4274,0.4317591867090313
168,37.9956,106.1856,0.4342314538663287
624,35.878,120.005,0.4357832586493231
635,23.691,113.0426,0.4368356765471078
747,46.671307,5.556806,0.4373027032071787
1384,42.334984,-89.03777,0.4375396041932526
203,43.9311,116.0781,0.438655368614384
127,36.7023,119.1437,0.4395172171781425
17,41.0821,123.022,0.4401121054186218
383,39.9611,116.2878,0.4418235277404828
1130,51.47707,0.317969,0.4423807341686591
237,50.2341,127.5144,0.444615456874891
496,26.5939,104.89,0.4468749996740377
187,32.4287,105.8628,0.4481745101456658
1389,39.40745,-94.26537,0.4492067743868814
1409,43.54792,-96.70077,0.4506576384794643
300,34.81334,113.56746,0.4507242184337361
399,29.4572,106.3754,0.4509324441086014
892,44.926111,10.370833,0.451931978844326
244,46.8032,130.3648,0.4522897014207425
621,27.583,110.0394,0.4529418287283296
254,45.1722,124.7965,0.4536194495670871
189,31.1986,107.5082,0.4539137746614204
95,36.1856,113.0844,0.456827443570457
334,31.2284,121.533,0.4606940277335211
1002,53.37287,-3.022722,0.4618280449957989
610,30.8955,120.0875,0.4619055500246761
801,45.463333,10.480833,0.462708416859254
817,47.8055556,13.043333,0.4633761688131264
371,43.8447,125.3863,0.4656928725891668
381,39.8863,116.4072,0.465741331486194
1000,48.021657,12.538174,0.4691572511974725
1200,43.89555,25.956575,0.4694035099298265
1112,44.92467,10.5172,0.4703082685517115
569,26.8906,100.2203,0.4705200532585156
270,37.7124,112.469,0.4718517086242824
763,46.17,1.87,0.4720463067588282
735,45.475327,4.515003,0.4720726124148451
1298,64.84569,-147.72742,0.4725167494083092
196,38.2911,109.7456,0.4730078244068947
1204,41.886019,12.541618,0.4734058639993944
