,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
627,22.5978,114.297,-0.1829259353404818
738,45.431539,28.054742,-0.1807547949572218
994,49.872303,8.664619,-0.1795444907052964
1047,51.862042,6.874469,-0.1794405667609599
822,41.99917,21.44084,-0.1782335324198521
1358,40.24699,-76.846985,-0.1776065970189239
1282,35.500103,-82.59986,-0.1775456036232308
1456,31.954287,-84.08101,-0.1757069121941056
442,36.7729,119.1936,-0.1728990258918974
677,43.2561,-5.7759,-0.1722964443668231
207,41.1953,123.2,-0.1721601731662602
273,37.7541,115.6838,-0.171123842495249
909,49.41123199,14.67638874,-0.1705833995846767
1,41.1442,123.0485,-0.1684655896701163
1148,45.1619,5.7356,-0.1677946397772112
1075,44.319639,28.610292,-0.166769104447004
1380,44.310555,-84.89187,-0.1665669113230632
922,47.649258,26.249011,-0.1649747985629879
1270,41.515053,-81.24991,-0.1646806489908963
458,31.381,120.999,-0.1635255191157172
277,39.5269,116.7244,-0.1631588195386239
536,23.4835,111.2711,-0.1626313361439295
686,48.610363,7.781631,-0.1625666665448991
1028,44.39703,8.20604,-0.1619195712717365
1306,44.70735,-89.77192,-0.160629609128154
842,47.091111,17.901122,-0.1605524414553567
1283,35.9359,-81.5306,-0.1597226962931597
424,33.774,113.182,-0.1590921290834175
967,53.480927,9.857223,-0.1582742092576088
1318,42.04915,-88.273026,-0.158073372039014
295,40.762,114.8902,-0.1578535947796959
759,45.84083,9.34889,-0.1573236692535142
361,32.4625,119.9189,-0.1572189451065904
254,45.1722,124.7965,-0.1538657343965951
532,27.725,111.9975,-0.1536623209781158
431,29.8253,106.4213,-0.1536602167568945
130,32.1195,114.0775,-0.1534289261626893
301,34.7525,113.64164,-0.1530378909424651
1354,40.814182,-79.56475,-0.1528224920997355
1039,50.766815,7.973542,-0.1522907915039495
1137,44.82112,20.459113,-0.149972469950996
952,46.951,7.44087,-0.1496725024104005
1071,47.664361,9.169289,-0.1473799320067466
807,47.410164,9.653713,-0.1460631705756703
612,24.6947,108.0497,-0.1440675228944689
785,60.608299,15.6294,-0.1440455094122425
1361,41.44278,-75.623055,-0.140839531652768
412,25.8333,114.9322,-0.1397800178231718
1303,33.588547,-84.06961,-0.137825076844701
268,30.6764,104.1419,-0.1376438532426777
867,51.207944,10.450997,-0.1373331497104435
828,43.9275,12.224722,-0.1362750747455176
988,47.34414,0.653778,-0.1350151157721732
885,51.407365,5.393328,-0.1337031457869916
108,37.8703,113.5614,-0.1295090443846585
97,35.2375,115.4747,-0.1290725383610902
1365,41.61524,-71.72,-0.128169346885832
1145,50.42864609,14.91385937,-0.1279723513664571
685,48.85731,7.314175,-0.1273908467790939
1164,43.675114,4.62921,-0.1264469591242377
1257,41.182465,-81.33048,-0.1247869753750425
705,45.5588,8.0564,-0.1242063618636494
645,36.7019,119.12,-0.1238147826618643
1398,27.939747,-82.000084,-0.1232126742236366
1449,27.946688,-82.731766,-0.122811014885773
1029,42.53417,12.52194,-0.1222188226878343
451,26.4365,106.6555,-0.1221954242390776
859,43.305286,5.394716,-0.1214323003462957
1392,38.71085,-90.47606,-0.120989843331829
1269,44.351696,-68.22698,-0.1209763147323193
975,49.628771,8.364779,-0.1200729296117946
951,47.4387,8.57012,-0.1187452947651768
1079,41.91614,0.191101,-0.1164494569529592
476,46.7432,82.9994,-0.1160538749418618
565,26.1028,119.2984,-0.1154517762060053
879,41.53583,20.6989,-0.1147342424168578
776,46.651838,16.196777,-0.1121900085419715
871,54.436985,12.721938,-0.112157884925617
1455,38.23887,-82.9881,-0.1116015945238867
1183,51.303394,6.819887,-0.1107279608671279
974,49.841221,7.866222,-0.1079711145134131
771,43.3583,-5.8664,-0.1076605391096235
1049,50.877923,12.0749,-0.1076273516087813
121,36.4847,117.8525,-0.1066285977398782
1342,29.583048,-95.01554,-0.1063785026755294
766,45.848333,11.569167,-0.1034354193181388
833,47.71611111,13.63222222,-0.1027776544245486
1440,47.5525,-122.06472,-0.1005563515627077
135,32.9692,112.548,-0.0999092526739102
1324,40.283092,-74.742615,-0.098372866236789
133,32.9917,112.5192,-0.0973837898977399
38,36.6868,117.532,-0.0964169709389399
1196,44.938125,26.044994,-0.0961018731763367
1032,45.60222,9.27611,-0.0956039426854797
303,36.5713,114.4918,-0.0936161005248482
40,32.1059,114.1099,-0.0930125998555098
866,50.979455,11.037924,-0.0907385655746818
272,37.0886,114.4704,-0.0889975052689659
126,37.5433,121.3719,-0.0882187421841548
1025,40.67354965,22.89343834,-0.0864192361262738
1090,50.221941,8.446079,-0.086260323566585
695,49.50260925,18.53856087,-0.0856998326894172
1372,46.81826,-92.08936,-0.0850143021234676
170,35.5461,106.6692,-0.0832093471193272
1138,52.401352,13.059945,-0.0829455150332719
166,31.0386,112.2213,-0.0823876943123018
1290,35.587143,-83.07416,-0.0793084033500713
136,34.4045,115.6458,-0.0786944662874198
620,27.7314,112.0194,-0.0786745487932408
457,36.253,120.014,-0.0781155445110271
1174,52.077148,4.289185,-0.0769952778570117
1297,48.5103,-113.99681,-0.0763352158166104
129,36.2017,117.0885,-0.0746642069536117
65,40.6288,109.8642,-0.0721861287912087
940,48.248993,16.357079,-0.0688499233613241
178,44.2967,86.0497,-0.0666224743807945
1389,39.40745,-94.26537,-0.0661878394945198
632,22.5311,113.0219,-0.0656298334159916
649,28.793,104.6055,-0.0644855846566264
240,46.6528,126.964,-0.0635732733342452
1429,40.689255,-122.40219,-0.0628826221830234
1302,37.1655,-78.3069,-0.0628399631298323
543,29.315,110.4417,-0.0625422903061282
760,47.594257,1.302667,-0.0619407744708811
806,47.128863,10.034324,-0.0613210761939179
817,47.8055556,13.043333,-0.0610865305258564
852,42.432356,25.637389,-0.0609908456138298
732,45.9225,6.87,-0.0606598565914875
1320,40.136337,-111.6605,-0.0590195865605709
1271,40.0877,-82.95977,-0.0582606576051327
1122,43.867496,18.423061,-0.0581668069397246
735,45.475327,4.515003,-0.0579576140552106
155,31.737,116.5079,-0.0579362908974454
